ASN	AS-Name	Certainty
200130	DIGITALOCEAN-ASN-1, US	0.0238095
49697	JOEY-NETWORK Joey Julian Koenig, DE	0.0106762
61568	FSF TECNOLOGIA LTDA ME, BR	0.0104712
37697	webmasters, MZ	0.00961538
3130	RG-BIWA - RGnet, LLC, US	0.00434783
5413	AS5413, GB	0.00429185
49752	KONTSTR-AS, RU	0.00361011
43578	BITNAP bitNAP Datacenter 01 Barcelona, ES	0.00235849
25227	ASN-AVANTEL-MSK Located in Moscow, Russia., RU	0.00234742
198290	AS-GITS, LU	0.00223214
